acne antibiotic	d-t	0.356407	-0.357927	0.00484753	0.0305369	-0.231187	0.13411	0.0911843	0.00380688	0.337022	-0.341299	0.0889073	0.236095	-0.838609	-0.114972	-0.204559	-0.196718	0.302155	0.00910506	-0.284209	-0.181738	0.115267	-0.143271	0.200312	0.261061	0.422322	-0.290112	-0.0166626	0.332899	0.409078	-0.0370469	-0.0804977	0.326866	0.374468	0.0994184	-0.079756	0.00743809	0.178192	-0.0671468	0.483535	-0.0965562	-0.0967965	0.272626	0.143105	0.45716	-0.0381502	0.0420999	-0.355002	-0.370422	-0.357147	0.30321	0.0522998	0.0648022	-0.109131	-0.0325682	0.328182	0.0214919	0.0708143	-0.0614901	0.277383	-0.347717	0.306306	0.583877	0.611761	-0.162322	-0.14604	-0.289449	0.208496	-0.0491378	-0.506628	-0.454096	-0.170081	0.100178	-0.373576	0.154078	-0.264589	-0.135372	0.357263	0.582274	0.447911	0.608642	0.017174	0.417142	0.14028	-0.315268	-0.0930135	0.428525	-0.665306	0.501386	0.395048	0.0107824	0.0571381	0.0514662	0.0603134	0.0530348	-0.280452	0.206655	0.444657	-0.0201832	0.039165	0.636965	
acne laser	d-t	0.0945702	-0.744246	0.359905	-0.270161	0.0281022	-0.265865	0.326872	0.380119	0.0967979	-0.58355	-0.0489152	0.0914348	-0.587658	0.434529	-0.0445234	-0.0330193	-0.00138842	-0.15451	-0.232311	-0.360591	0.0659336	-0.748294	-0.359355	-0.351161	0.206104	-0.407754	-0.755789	-0.0345875	0.201063	0.231405	0.128923	0.558108	0.0956118	0.0594426	-0.883336	-0.616913	0.53354	-0.154652	0.257902	-0.156827	-0.266235	0.0438305	0.45173	0.404035	-0.179767	0.15491	0.517091	-0.213374	-0.0838363	0.557548	-0.349404	-0.324678	-0.548999	-0.0823353	0.0933384	0.0922474	-0.1119	-0.0204035	0.649955	-0.50534	0.37794	0.33036	0.0961396	0.662666	-0.211296	-0.861893	0.436932	-0.270034	0.176704	-0.406747	-0.0814527	0.362659	-0.227194	0.377203	-0.138437	-0.0727036	0.142109	0.51829	0.204397	0.153155	0.161633	0.89214	0.218312	-0.586921	0.308424	0.68159	0.161505	0.327309	0.377109	0.428074	0.630094	0.0533092	-0.10032	-0.143518	-0.0788492	0.493058	-0.471237	0.475341	0.611637	-0.183964	
acne corticosteroid	d-t	0.352178	-0.158446	0.0449305	-0.0982894	-0.428651	0.122736	-0.219638	0.134327	-0.0911389	-0.362721	-0.19194	0.198296	-0.368275	0.198927	0.17277	0.341614	0.375355	-0.364293	-0.113795	-0.125516	0.169193	-0.0703984	-0.0397558	0.170227	0.487017	-0.222031	-0.180566	0.42041	0.0130781	-0.223187	-0.345539	0.0228874	-0.108491	-0.0498296	-0.0678772	0.141381	0.13711	-0.226711	0.368062	-0.117557	0.0332522	0.0564256	0.383777	0.314385	-0.216023	0.0854243	-0.0478175	-0.0363889	-0.110351	-0.0906129	0.347356	0.201168	-0.3557	0.0774473	0.499864	-0.154453	0.139764	-0.00994742	0.311339	-0.55172	0.397734	0.414844	0.422677	-0.147579	-0.0837495	-0.367122	0.228534	-0.210131	-0.559221	-0.445681	-0.26402	0.066258	-0.0762137	0.166337	-0.323225	-0.248384	-0.0832167	0.77992	0.0739484	0.367384	0.202569	0.543743	0.194812	-0.0785043	-0.118283	0.0518103	-0.361704	0.609188	0.387096	-0.107957	0.0405346	0.379761	-0.125093	0.0304316	-0.36252	0.0896307	0.186386	0.233693	-0.117148	0.118315	
allergy cortisone	d-t	-0.212124	0.267239	-0.637609	-0.434312	-0.328586	0.0263701	-0.0853542	0.140153	0.563057	-0.436942	-0.0345542	0.311911	0.0462399	0.643391	-0.119906	0.159594	0.378424	0.0940529	-0.197574	0.140054	-0.0624867	-0.688309	-0.385504	-0.699091	0.627367	-0.0450602	0.376977	0.268191	-0.0401096	0.48528	0.00157903	0.0456776	0.243472	-0.741424	0.523592	0.0798372	0.0947687	0.0326079	-0.448323	-0.189563	-0.430888	-0.184949	0.425957	0.180448	-0.0081231	0.281995	-0.340017	0.0810957	0.282698	-0.40631	0.0662007	0.876658	-0.318052	-0.435785	0.626572	0.494341	-0.403224	-0.0868233	0.68881	-0.606621	0.00258596	0.218503	1.05085	-0.441387	-0.109666	-0.307136	0.0727003	-0.0616153	-0.374477	-0.315675	-0.23769	0.323105	0.38593	-0.345528	-0.722032	-0.323088	-0.644537	0.816889	0.201711	0.0850557	0.0186622	0.148649	0.468918	-0.0495165	0.330827	-0.0614624	-0.227473	0.63846	0.164758	0.328126	0.196069	-0.0207059	-0.612742	0.195424	-0.322228	0.288332	0.363478	0.232444	0.25769	-0.326681	
allergy dexamethasone	d-t	-0.107878	0.0342525	-0.598211	-0.225738	-0.304843	-0.55168	0.103231	0.227111	0.558508	-0.469837	-0.290715	0.344411	-0.0210093	0.616489	0.0350668	0.310186	0.467642	-0.0329859	-0.0821361	0.253184	-0.202065	-0.341897	-0.30945	-0.640317	0.677887	-0.313071	0.242653	0.373453	-0.572732	0.0482976	-0.0241144	-0.142578	0.15399	-0.475019	0.0843361	-0.0897734	0.049813	-0.242639	0.0318684	-0.290021	-0.283013	-0.271413	0.216859	0.0945403	-0.247136	-0.00240634	0.0178185	0.157741	0.165172	-0.00769609	-0.205354	0.209774	-0.0728462	0.171296	0.622678	0.262701	-0.103169	-0.079841	0.245068	-0.685013	-0.0958813	0.267483	0.633894	-0.321368	-0.309045	-0.0297697	0.276368	0.657293	-0.123418	-0.0640739	-0.512643	0.375282	0.239237	0.0107645	-0.220083	-0.168247	-0.495001	0.972787	0.180589	0.309512	0.173187	0.262369	-0.00221191	0.208049	0.151465	-0.421196	-0.0742356	0.729903	0.20381	-0.028046	0.447014	0.216109	-0.390421	0.170422	-0.117708	-0.183718	0.32317	-0.216866	0.196088	-0.164754	
arthritis corticosteroid	d-t	0.620127	-0.259103	-0.256664	0.11087	0.0124364	-0.351295	-0.0773802	0.198885	-0.0119398	-0.104307	0.428106	-0.0593431	-0.438494	0.479947	0.387669	-0.0511274	0.42386	-0.0972161	0.229701	-0.273418	0.413246	0.050984	-0.0409478	-0.350108	0.384309	-0.444134	-0.857321	0.690398	0.0318374	-0.0593962	-0.0572235	0.573073	-0.561995	0.174499	0.250735	0.280854	0.256337	-0.151109	0.113245	-0.565137	-0.301146	-0.176662	0.0602897	-0.255734	0.0451685	0.0446998	-0.0673498	-0.442734	-0.338347	-0.236066	0.319097	0.144703	-0.0114286	0.490962	0.045239	-0.369376	0.323115	-0.271746	-0.00685763	-0.030701	-0.131821	0.416594	0.597369	-0.179145	0.192025	-0.0572288	0.344879	-0.194904	-0.551476	-0.221927	-0.672596	-0.0522943	-0.110779	0.168252	-0.585992	-0.608441	-0.366133	0.312036	0.683222	0.501584	-0.367219	0.0974309	-0.0251267	0.484322	0.219318	-0.0295916	-0.667807	0.519882	-0.346484	0.154399	-0.214422	0.299073	0.601043	0.141678	-0.561525	-0.0134744	0.0826381	0.264983	0.0713515	-0.887399	
asthma cannabis	d-t	-0.0216027	0.0978901	-0.225016	0.399393	0.231489	-0.146547	0.180648	-0.176358	0.0794126	-0.272034	0.192939	0.640591	-0.164185	0.488995	-0.163795	-0.37524	0.222937	0.131136	0.148181	-0.490496	-0.121395	-0.39387	0.0471218	-0.190297	-0.219804	-0.0923089	-0.392921	0.199564	0.260421	-0.142472	-0.444624	-0.473422	-0.544788	0.0394985	-0.0162463	-0.057784	0.0661546	0.0297871	-0.0421948	-0.740208	0.206531	-0.109975	0.222802	-0.0874607	0.38449	-0.0365107	0.166449	0.234703	-0.23178	-0.00676763	0.0520539	0.361783	-0.0583538	-0.304738	0.249918	-0.156877	-0.170345	-0.242638	0.462455	0.67921	0.232488	-0.345746	0.862827	-0.0436977	0.00513265	0.236163	0.243096	-0.120852	0.563671	-0.394073	-0.829305	-0.00276592	-0.0810561	-0.183376	-0.192723	-0.36452	-0.415971	0.758571	-0.171939	0.0759943	0.138964	0.101785	0.158789	0.0755754	-0.455586	0.156171	-0.679422	0.106233	-0.0786702	0.287097	0.444733	-0.143823	0.368531	0.343406	-0.175665	-0.276803	0.156058	-0.0565092	0.152156	0.16918	
asthma theophylline	d-t	-0.0547461	0.159088	-0.559191	-0.067069	-0.36476	-0.612102	0.120712	-0.0475244	0.452605	-0.141285	-0.391898	0.286231	-0.300214	0.726173	-0.11785	0.378429	0.18805	-0.422159	-0.13679	0.370787	-0.236715	-0.158998	-0.185655	-0.0664605	0.0475966	-0.285737	-0.24143	0.13103	0.0255175	0.0932426	-0.373599	0.144975	-0.338055	-0.0963539	0.335909	-0.0833032	0.231227	-0.325545	-0.115129	-0.31376	0.226539	0.0147596	0.256596	0.0189249	-0.106885	0.125331	-0.00548156	0.0705351	0.00164524	0.253317	-0.161231	0.339418	0.119531	-0.135395	0.332205	-0.00616053	0.119003	-0.744761	0.369944	-0.268097	-0.0559365	0.0242689	0.539961	-0.239216	-0.28435	0.187826	0.428414	0.0269265	0.34164	0.0564619	-0.941918	0.287202	0.107097	0.0250116	-0.0277789	-0.426146	-0.565637	0.540321	-0.0121089	0.100463	-0.311359	0.219337	0.207311	-0.11676	0.0719306	0.077916	-0.446028	0.552098	-0.0191827	-0.0859408	0.202032	0.166386	0.200473	0.10532	-0.0391234	0.333164	0.271371	0.147741	0.464424	0.0857433	
autism cannabis	d-t	-0.0527776	0.208738	-0.0883652	0.132745	0.0577832	-0.138834	-0.281408	-0.079658	-0.257038	-0.42222	0.519026	0.00822699	-0.200493	0.0998143	-0.793854	-0.331447	0.447208	-0.366439	0.159613	-0.356765	-0.0147205	0.458546	-0.0247526	0.214341	-0.356513	-0.0679799	-0.476771	-0.0944767	0.329091	-0.0229671	-0.606154	-0.0725377	-0.462756	-0.170247	0.453568	0.142018	0.57453	-0.122742	-0.03266	-0.15836	0.090791	0.0872497	0.29468	0.099852	-0.119772	0.0590994	-0.134412	0.148277	-0.0514871	-0.118443	0.245215	0.206718	0.113979	0.233777	0.417084	-0.118633	-0.0971038	-0.45833	0.765047	0.75014	0.0128595	-0.414105	0.124479	-0.00811355	-0.13514	0.292102	-0.00681637	0.104233	-0.0376236	-0.348234	-0.665882	-0.094647	-0.517022	-0.628485	-0.104502	-0.330651	-0.546594	0.681505	-0.351472	-0.121729	0.00705567	-0.320782	0.0788633	-0.265939	-0.388955	-0.566959	-0.350274	-0.0640478	0.147237	0.116377	0.176794	0.213742	0.183507	0.436732	-0.569673	-0.170188	0.0671213	-0.0534551	0.00184074	-0.0497953	
autism antidepressant	d-t	0.443496	0.0883892	-0.126388	-0.325223	-0.0789458	-0.385864	-0.654526	0.299233	-0.162425	-0.453322	0.34021	-0.442321	-0.119636	0.0979361	-0.552487	-0.126496	0.544182	-0.501823	0.18376	0.183575	-0.0511926	0.70749	0.158834	0.194018	-0.225214	-0.643263	-0.335365	0.268473	0.286057	0.335278	-0.381909	0.0842031	-0.113039	-0.362124	0.629916	0.236719	0.474516	-0.292173	-0.159666	0.0189298	-0.00516541	0.343743	0.411569	-0.0517776	0.00243311	-0.169509	-0.291915	0.03848	0.000941008	-0.0562926	0.278615	0.276536	0.302582	0.422773	0.532394	-0.100935	-0.0117393	-0.67889	0.611013	-0.000573643	-0.226267	-0.0980295	-0.0915891	-0.112382	-0.219343	0.103289	0.278237	0.125096	-0.423304	-0.117813	-0.918227	0.249266	-0.452202	-0.525316	-0.135917	-0.55723	-0.498071	0.448573	-0.152007	0.0884618	-0.435856	-0.4423	-0.203017	-0.246741	-0.192159	-0.404424	0.136277	0.206841	0.0550715	0.175832	0.0345407	0.730026	-0.0304441	0.450683	-0.421911	0.108773	0.721132	0.256539	-0.0486886	-0.146234	
