acne antibiotic	d-t	0.138565	0.193433	-0.120078	0.162612	-0.120188	0.492993	-0.473884	0.116839	-0.0092892	0.404336	0.151999	-0.00246139	0.166415	-0.237402	0.218586	-0.0593803	0.119293	0.141562	0.0215122	-0.0745149	0.171929	0.725382	-0.0171366	0.120177	0.486841	0.386695	-0.311681	-0.805811	-0.155149	-0.00498946	-0.122407	-0.192485	-0.641454	-0.237387	-0.53104	0.112335	-0.0768572	-0.226343	-0.0593053	0.0436923	-0.297584	-0.366672	-0.118102	0.250197	0.0644334	0.056386	0.145482	-0.128447	0.108746	-0.104003	-0.369251	0.22139	-0.197068	0.311788	-0.452246	-0.00327184	0.0966879	0.518226	-0.851222	-0.465972	0.630123	0.265261	0.14071	-0.45282	-0.159999	0.371507	0.106144	-0.153131	-0.116294	0.26161	0.685103	-0.526645	-0.295844	0.167932	0.207715	0.131276	0.414596	-0.259922	-0.0872188	-0.297014	0.0729841	-0.170188	0.327432	0.450191	-0.195677	-0.0335784	-0.0337987	0.0488335	0.434434	-0.292285	-0.308406	0.286806	0.570657	-0.191282	0.264826	0.0952912	-0.0752185	0.0198244	-0.0619276	0.0632489	
acne laser	d-t	0.251584	0.673101	0.382201	0.0876146	0.335383	0.0474489	-0.0493057	0.437161	0.165174	-0.392733	0.192431	0.373857	0.518036	-0.170968	0.45544	0.0525795	-0.0304261	-0.172508	-0.243206	0.239393	-0.126434	0.48891	0.143904	0.466536	0.276065	0.497787	-0.0821792	-0.623345	0.230102	0.0688258	0.0114495	-0.373609	-0.032866	-0.270435	-0.259803	0.539361	-0.0751597	-0.0296686	-0.449799	0.0538784	0.312235	-0.154463	-0.164833	0.509288	-0.0292074	0.0292371	0.174196	-0.0846859	0.0172082	0.182238	-0.381256	0.296662	-0.0597525	0.149253	-0.267295	0.0761076	-0.0221731	0.312282	-0.319035	-0.392985	0.157345	0.211568	0.534891	-0.268513	0.169235	-0.277359	0.251238	0.0141177	-0.00615448	-0.315013	0.56006	0.044975	0.276612	0.126128	-0.162473	0.574728	0.686745	0.183978	-0.254037	-0.303927	0.111461	0.239621	0.0202422	0.572241	-0.0925374	0.14389	0.254563	-0.400615	0.0087132	-0.213282	-0.22101	-0.280803	0.295129	3.74317e-05	0.138589	-0.0850111	-0.0985843	-0.0219084	0.150999	-0.534309	
acne corticosteroid	d-t	0.128675	0.104201	-0.486657	0.349166	0.0477213	0.452807	-0.347122	0.367603	0.0921092	0.297427	0.317589	0.023345	0.273323	0.0696439	0.115914	-0.217627	0.559374	0.364849	-0.116558	0.0183914	0.271207	0.763023	-0.169308	0.259913	0.731053	0.187811	-0.0920056	-0.641853	0.0946335	0.0708005	0.0513486	-0.402079	-0.500283	-0.31422	-0.504459	0.418568	0.120538	-0.611403	-0.541932	0.278947	0.0773324	-0.131964	-0.00235644	0.314025	0.019851	0.176355	0.109792	-0.796341	-0.282825	-0.276801	-0.365523	0.431912	-0.0756973	0.180567	-0.299643	0.266285	0.29166	0.274213	-0.898208	-0.783584	0.681705	0.641867	0.505639	-0.405137	-0.386287	0.18264	-0.081668	-0.215228	-0.254076	-0.227856	0.534561	-0.515712	-0.376899	0.325667	0.591763	-0.0358862	0.697495	0.0539025	-0.0285527	0.198406	-0.0984163	0.17671	0.141227	0.486351	-0.0482588	0.0929883	0.0527758	-0.139765	0.461524	-0.166073	-0.346819	-0.423783	0.434599	-0.288062	0.393545	0.208319	0.184527	0.539721	-0.00271299	-0.002392	
allergy cortisone	d-t	0.0572835	-0.147693	-0.334335	-0.364604	0.211296	-0.463467	0.0421567	-0.0576647	-0.0127068	-0.156921	0.125302	0.190935	0.302081	-0.143569	-0.0572383	-0.236106	0.419412	-0.169185	-0.844682	-0.013153	0.173219	-0.0188872	-0.498406	-0.0673248	0.297528	0.139386	0.493646	-0.153628	0.528108	0.130934	-0.12337	0.16398	-0.232826	-0.230475	-0.133246	0.355974	0.196414	-0.589687	-0.132565	0.18882	0.234452	0.012924	0.0612749	0.286857	0.188957	0.11627	-0.0728696	-0.240468	-0.00836521	-0.0420189	-0.502143	-0.040811	-0.534101	-0.300921	-0.0176309	-0.258627	0.0674533	-0.0210463	-0.407739	-0.359617	0.485115	0.0400702	-0.132385	-0.288408	-0.461191	0.174615	-0.220123	-0.0143857	0.0118465	-0.0618393	0.367597	0.0537441	-0.309402	0.186776	0.315099	0.175638	0.27072	-0.0482508	-0.0012452	0.446688	0.324673	0.370173	0.164584	0.355609	-0.0427218	0.0235602	0.148131	-0.213722	-0.234991	-0.0355178	-0.400074	-0.35568	0.172183	0.21956	-0.639706	-0.102522	-0.37675	0.252265	0.475591	-0.0520642	
allergy dexamethasone	d-t	-0.334774	-0.185424	-0.0755394	-0.31434	-0.00159985	-0.0129489	0.0899048	-0.185189	0.0394628	-0.157898	0.527594	0.109631	0.281529	0.114422	0.17945	-0.283385	0.0741959	0.046982	-0.592755	0.0269466	-0.255723	0.286146	-0.273652	-0.134663	0.222207	0.463174	0.341177	-0.203244	0.208746	-0.0154636	-0.0740813	-0.0416269	-0.00463247	-0.397825	-0.422604	0.184677	-0.189098	-0.43509	-0.134713	0.469725	0.234425	-0.0830106	-0.0726826	0.362402	-0.132324	0.106745	0.21659	-0.258171	0.435702	0.110443	-0.303671	0.388253	-0.117522	0.223844	-0.236043	-0.0725561	-0.154483	-0.0978964	-0.153925	-0.114479	0.0716037	0.489717	0.0115117	-0.49665	-0.0465793	0.248089	-0.0865514	0.0239484	0.00486645	0.472017	0.168815	-0.229866	0.062541	0.4793	0.238846	-0.219938	-0.0502321	-0.600089	-0.10063	0.273474	-0.104544	-0.00971484	0.331182	0.258639	-0.0927825	0.0781504	0.244159	-0.510446	0.189356	0.442715	-0.582017	-0.379069	0.403591	-0.0530434	-0.404728	0.091656	-0.390572	0.258364	-0.0125278	-0.0354153	
arthritis corticosteroid	d-t	0.153261	0.173225	-0.254372	0.604797	0.0100548	0.529837	-0.436124	0.208655	0.00722037	0.452672	-0.14569	-0.384403	-0.271718	0.723962	0.453292	-0.00525066	0.566893	0.34592	-0.4357	-0.184248	0.206271	0.637951	-0.495667	0.777057	0.503249	0.493815	0.160177	-0.467866	0.233509	-0.087036	-0.013373	-0.0967999	-0.38277	-0.376843	-0.409737	0.169336	-0.103911	-0.567271	-0.741648	-0.0651971	0.0786163	-0.417247	-0.329641	0.139825	0.522992	0.180528	-0.011681	-0.683152	-0.31773	-0.023724	-0.272165	0.248389	0.098075	0.309881	0.0509415	0.219046	0.522367	-0.0124365	-0.309667	-0.240952	0.955869	0.734283	0.230886	0.189148	-0.385028	-0.126871	-0.262347	0.084816	-0.248892	-0.391977	0.103924	-0.445112	-0.325784	0.34547	0.762756	0.138365	0.670681	-0.222575	-0.265787	0.170025	-0.222569	0.202779	-0.0186496	1.01025	-0.204847	-0.242148	0.246249	-0.30031	0.18763	-0.0201225	-0.0826024	-0.0904778	0.0392888	-0.221248	-0.0860145	-0.255222	0.282427	0.484932	-0.399354	-0.344962	
asthma cannabis	d-t	0.195286	-0.298832	-0.156941	0.00255952	0.110313	0.0601044	-0.203283	0.281278	-0.293895	0.171167	0.173159	-0.0830316	-0.259593	-0.0358698	0.23438	-0.189904	0.530167	-0.2896	0.040106	-0.174898	0.275325	0.200527	-0.439387	0.204965	0.167901	0.086094	0.253702	0.187704	0.125353	-0.289081	-0.385804	0.0934304	0.577129	-0.0535261	-0.00980167	0.281811	-0.196681	-0.329745	-0.418922	-0.00628154	0.195092	0.0339655	0.0110268	0.129482	0.101123	-0.267511	-0.0339182	0.161344	-0.134698	0.192229	0.164874	0.350056	-0.193886	-0.314015	0.258471	0.133486	0.0781742	0.181271	0.118047	0.154715	-0.0841527	0.661322	0.28637	-0.178852	-0.165306	0.103593	0.457503	-0.160917	-0.205531	0.13731	0.437221	0.125106	0.101402	0.1116	0.0747295	-0.319939	0.0217682	0.0388363	-0.0449685	-0.327225	0.376313	0.32536	0.358278	0.374195	-0.371726	-0.489313	0.252065	-0.455137	-0.220547	0.116358	-0.0512215	-0.259292	-0.0635975	0.106095	-0.264565	0.167956	-0.496564	-0.1678	-0.107279	0.092041	
asthma theophylline	d-t	0.0761645	-0.417017	-0.0549958	0.0482584	0.0952735	0.204005	-0.070458	0.0115996	0.319278	-0.232962	0.273328	-0.352847	-0.10468	0.0181734	0.392114	-0.295823	-0.130576	-0.0327783	-0.133048	-0.0780712	0.0448547	0.520632	-0.477939	0.0110868	0.175251	0.320351	0.0411035	-0.186306	-0.258467	-0.232759	-0.400769	-0.0742964	0.266319	-0.28223	-0.0561678	0.0655978	-0.223982	-0.332807	-0.167179	0.411802	0.339655	0.0469054	0.00263143	0.369353	-0.111454	0.103341	0.320539	-0.263029	-0.118939	0.040433	-0.154314	-0.0289625	-0.0408022	-0.120476	0.0403277	0.371475	-0.379561	0.138223	0.18858	0.00368882	0.156243	0.681794	0.209969	-0.215946	-0.0792299	0.418164	0.231731	-0.0391481	-0.217771	0.0521512	0.611886	-0.236289	0.203644	-0.0492438	0.170006	-0.100066	0.132979	-0.3238	0.0977053	-0.0699711	-0.168701	0.339301	0.503942	0.349244	-0.370031	-0.238581	0.106582	-0.275184	-0.102991	0.386387	-0.126016	-0.388681	0.54435	-0.126618	0.198235	0.0639244	-0.0374229	0.0684306	0.16547	-0.180382	
autism cannabis	d-t	0.0769754	-0.216289	-0.368249	0.0976534	0.0141536	-0.129395	0.0187469	-0.0109202	-0.478303	0.393225	0.319489	-0.718626	-0.439949	-0.106925	0.177618	0.0403269	0.430606	0.117776	-0.10018	-0.0373084	0.206763	0.0940412	-0.235855	0.725235	-0.253521	0.22811	0.469711	0.0501423	0.0492705	-0.0866027	-0.37889	0.301058	-0.197601	-0.488506	0.188102	0.295278	-0.0882204	0.16935	-0.397514	-0.00111299	-0.0471546	0.136207	0.23698	-0.111728	0.452265	-0.506779	-0.271742	-0.181197	-0.25465	0.357144	0.182259	0.459473	-0.0756545	-0.163558	0.230779	0.0861385	0.557388	0.0715906	-0.0950627	0.145306	0.258926	0.827617	0.445765	-0.148058	-0.33784	0.298299	0.359925	-0.185813	-0.225008	0.425356	0.353388	0.418094	0.170232	-0.182089	-0.253128	-0.404329	-0.242283	0.252495	-0.248528	-0.23701	0.22429	0.222367	0.139206	0.546823	-0.153883	-0.63671	0.439121	-0.406898	0.040378	0.137595	0.0803982	0.0360759	0.0242927	0.35209	-0.0561942	0.178176	-0.31193	0.301623	-0.110717	0.101944	
autism antidepressant	d-t	0.224688	0.0737615	-0.406699	0.0905078	-0.0107889	-0.0559193	-0.254487	-0.295523	0.197182	0.594734	0.0167499	-0.620491	-0.413661	-0.0135092	-0.0250697	0.0249182	0.204286	0.212794	-0.641285	-0.254554	0.0435759	0.552411	-0.0506669	0.626372	-0.0391068	0.296503	0.401611	-0.31579	-0.262198	0.215089	-0.473835	0.354454	-0.83168	-0.485724	-0.109032	-0.017184	0.121912	0.106544	0.046103	-0.115716	-0.107222	0.264727	0.111486	-0.161525	0.312934	-0.0674231	-0.103799	-0.113457	-0.540383	0.383419	-0.0796379	0.152256	-0.240909	-0.113157	-0.13257	-0.108824	0.292897	0.231422	-0.180146	0.38656	0.508212	0.668629	-0.273666	-0.0767009	-0.147124	0.50408	-0.131607	-0.156298	-0.191855	0.393064	0.323005	-0.231541	-0.284259	0.334127	-0.0210108	0.014072	-0.43435	-0.24663	-0.0737591	-0.142253	0.220839	0.287369	0.0924989	0.652035	-0.189626	-0.528505	0.319164	-0.353149	0.256223	0.104315	0.323143	-0.0701923	0.390748	-0.126336	0.116856	-0.220143	-0.0963919	0.219887	-0.242322	-0.317251	
